city_state,income_avg
"presque isle, mi",45872
"roscommon, mi",41258
"saginaw, mi",45328
"sanilac, mi",44093
"schoolcraft, mi",45281
"shiawassee, mi",44855
"st. clair, mi",50107
"st. joseph, mi",43818
"tuscola, mi",43073
"van buren, mi",45869
"washtenaw, mi",63655
"wayne, mi",48788
"wexford, mi",41545
"aitkin, mn",46390
"anoka, mn",55694
"becker, mn",51772
"beltrami, mn",45368
"benton, mn",49403
"big stone, mn",62498
"blue earth, mn",49288
"brown, mn",59763
"carlton, mn",47227
"carver, mn",75677
"cass, mn",51340
"chippewa, mn",56148
"chisago, mn",53140
"clay, mn",47522
"clearwater, mn",49654
"cook, mn",56220
"cottonwood, mn",56130
"crow wing, mn",49092
"dakota, mn",64748
"dodge, mn",51585
"douglas, mn",56039
"faribault, mn",50321
"fillmore, mn",49630
"freeborn, mn",50364
"goodhue, mn",58303
"grant, mn",55429
"hennepin, mn",79183
"houston, mn",55443
"hubbard, mn",52122
"isanti, mn",49082
"itasca, mn",48872
"jackson, mn",62789
"kanabec, mn",48092
"kandiyohi, mn",57122
"kittson, mn",63181
"koochiching, mn",49019
"lac qui parle, mn",60286
"lake, mn",51683
"lake of the woods, mn",60435
"le sueur, mn",54361
"lincoln, mn",53464
"lyon, mn",54589
"mahnomen, mn",40781
"marshall, mn",63090
"martin, mn",57955
"mcleod, mn",54149
"meeker, mn",49478
"mille lacs, mn",47379
"morrison, mn",47610
"mower, mn",50537
"murray, mn",63620
"nicollet, mn",53083
"nobles, mn",53881
"norman, mn",51626
"olmsted, mn",63100
"otter tail, mn",52707
"pennington, mn",61825
"pine, mn",42237
"pipestone, mn",59326
"polk, mn",55849
"pope, mn",56561
"ramsey, mn",58557
"red lake, mn",55620
"redwood, mn",61772
"renville, mn",58489
"rice, mn",47839
"rock, mn",59225
"roseau, mn",55999
"scott, mn",65655
"sherburne, mn",50710
"sibley, mn",53677
"st. louis, mn",50986
"stearns, mn",51216
"steele, mn",51703
"stevens, mn",55345
"swift, mn",56060
"todd, mn",47123
"traverse, mn",74000
"wabasha, mn",53837
"wadena, mn",43925
"waseca, mn",47139
"washington, mn",72273
"watonwan, mn",53034
"wilkin, mn",62497
"winona, mn",52198
"wright, mn",55218
"yellow medicine, mn",61315
"adams, ms",38331
"alcorn, ms",38956
"amite, ms",37692
"attala, ms",37962
"benton, ms",34691
"bolivar, ms",42767
"calhoun, ms",38017
"carroll, ms",41624
"chickasaw, ms",40254
"choctaw, ms",38813
"claiborne, ms",34852
"clarke, ms",42207
"clay, ms",42187
"coahoma, ms",40781
"copiah, ms",36414
"covington, ms",38250
"desoto, ms",45764
"forrest, ms",42175
"franklin, ms",38355
"george, ms",38668
"greene, ms",31102
"grenada, ms",40296
"hancock, ms",39455
"harrison, ms",41534
"hinds, ms",43452
"holmes, ms",33567
"humphreys, ms",40236
"issaquena, ms",38921
"itawamba, ms",39878
"jackson, ms",41575
"jasper, ms",41967
"jefferson, ms",38101
"jefferson davis, ms",33434
"jones, ms",40402
"kemper, ms",33841
"lafayette, ms",46037
"lamar, ms",43227
"lauderdale, ms",42673
"lawrence, ms",36649
"leake, ms",32239
"lee, ms",46138
"leflore, ms",43878
"lincoln, ms",42121
"lowndes, ms",44152
"madison, ms",68381
"marion, ms",41433
"marshall, ms",37543
"monroe, ms",39729
"montgomery, ms",39432
"neshoba, ms",38507
"newton, ms",37484
"noxubee, ms",37781
"oktibbeha, ms",37853
"panola, ms",37593
"pearl river, ms",40201
"perry, ms",36953
"pike, ms",34718
"pontotoc, ms",37342
"prentiss, ms",34158
"quitman, ms",34239
"rankin, ms",48295
"scott, ms",32840
"sharkey, ms",42775
"simpson, ms",38987
"smith, ms",36494
"stone, ms",37001
"sunflower, ms",35454
"tallahatchie, ms",33784
"tate, ms",40134
"tippah, ms",42051
"tishomingo, ms",37593
"tunica, ms",40994
"union, ms",36387
"walthall, ms",34814
"warren, ms",44422
"washington, ms",43778
"wayne, ms",36967
"webster, ms",43060
"wilkinson, ms",34759
"winston, ms",38970
"yalobusha, ms",41336
"yazoo, ms",33672
"adair, mo",34867
"andrew, mo",48186
"atchison, mo",53958
"audrain, mo",42029
"barry, mo",37114
"barton, mo",42031
"bates, mo",44523
"benton, mo",40318
"bollinger, mo",36548
"boone, mo",51330
"buchanan, mo",42653
"butler, mo",40255
"caldwell, mo",41488
"callaway, mo",42524
"camden, mo",40778
"cape girardeau, mo",47386
"carroll, mo",50990
"carter, mo",35898
"cass, mo",50654
"cedar, mo",34130
"chariton, mo",49650
"christian, mo",43602
"clark, mo",40825
"clay, mo",51619
"clinton, mo",46823
"cole, mo",51905
"cooper, mo",44486
"crawford, mo",38430
"dade, mo",38581
"dallas, mo",35840
"daviess, mo",37380
"dekalb, mo",36799
"dent, mo",36327
"douglas, mo",31031
"dunklin, mo",38821
"franklin, mo",48108
"gasconade, mo",43589
"gentry, mo",46483
"greene, mo",47388
"grundy, mo",39098
"harrison, mo",41238
"henry, mo",44780
"hickory, mo",31380
"holt, mo",56644
"howard, mo",43946
"howell, mo",37414
"iron, mo",36530
"jackson, mo",50209
"jasper, mo",42488
"jefferson, mo",46027
"johnson, mo",40207
"knox, mo",40933
"laclede, mo",38403
"lafayette, mo",45825
"lawrence, mo",36746
"lewis, mo",39481
"lincoln, mo",44032
"linn, mo",42456
"livingston, mo",43804
"macon, mo",44785
"madison, mo",40312
"maries, mo",37638
"marion, mo",44121
"mcdonald, mo",31941
"mercer, mo",35358
"miller, mo",39349
"mississippi, mo",37483
"moniteau, mo",41930
"monroe, mo",44528
"montgomery, mo",46688
"morgan, mo",42880
"new madrid, mo",41953
"newton, mo",41771
"nodaway, mo",36315
"oregon, mo",33166
"osage, mo",49250
"ozark, mo",33722
"pemiscot, mo",40931
"perry, mo",45002
"pettis, mo",40971
"phelps, mo",42030
"pike, mo",40471
"platte, mo",60698
"polk, mo",36944
"pulaski, mo",44732
"putnam, mo",39308
"ralls, mo",44688
"randolph, mo",42615
"ray, mo",46047
"reynolds, mo",38107
"ripley, mo",34297
"saline, mo",43076
"schuyler, mo",33550
"scotland, mo",41576
"scott, mo",44148
"shannon, mo",33071
"shelby, mo",45373
"st. charles, mo",56879
"st. clair, mo",33058
"st. francois, mo",37377
"st. louis, mo",78804
"st. louis city, mo",51041
"ste. genevieve, mo",44925
"stoddard, mo",41158
"stone, mo",41975
"sullivan, mo",44877
"taney, mo",38859
"texas, mo",32774
"vernon, mo",39496
"warren, mo",45011
"washington, mo",33148
"wayne, mo",34018
"webster, mo",35845
"worth, mo",41861
"wright, mo",35480
"beaverhead, mt",52501
"big horn, mt",35950
"blaine, mt",36301
"broadwater, mt",48786
"carbon, mt",56900
"carter, mt",53760
"cascade, mt",52226
"chouteau, mt",48627
"custer, mt",51268
"daniels, mt",64205
"dawson, mt",50972
"deer lodge, mt",45039
"fallon, mt",54203
"fergus, mt",48900
"flathead, mt",52740
"gallatin, mt",63432
"garfield, mt",44812
"glacier, mt",41773
"golden valley, mt",56481
"granite, mt",49242
"hill, mt",50018
"jefferson, mt",52770
"judith basin, mt",56953
"lake, mt",44068
"lewis and clark, mt",54040
"liberty, mt",51268
"lincoln, mt",41129
"madison, mt",57112
"mccone, mt",48924
"meagher, mt",49730
"mineral, mt",43233
"missoula, mt",54353
"musselshell, mt",49756
"park, mt",55213
"petroleum, mt",41080
"phillips, mt",48341
"pondera, mt",56218
"powder river, mt",44756
"powell, mt",47024
"prairie, mt",57918
"ravalli, mt",49860
"richland, mt",63761
"roosevelt, mt",41531
"rosebud, mt",50566
"sanders, mt",41398
"sheridan, mt",61236
"silver bow, mt",50672
"stillwater, mt",57382
"sweet grass, mt",54287
"teton, mt",53172
"toole, mt",60089
"treasure, mt",66721
"valley, mt",54556
"wheatland, mt",42348
"wibaux, mt",48913
"yellowstone, mt",56588
"adams, ne",53232
"antelope, ne",69121
"arthur, ne",53618
"banner, ne",59097
"blaine, ne",70372
"boone, ne",69564
"box butte, ne",53723
"boyd, ne",62078
"brown, ne",60280
"buffalo, ne",60230
"burt, ne",53602
"butler, ne",56101
"cass, ne",57220
"cedar, ne",58373
"chase, ne",68843
"cherry, ne",50817
"cheyenne, ne",50334
"clay, ne",57104
"colfax, ne",49977
"cuming, ne",71653
"custer, ne",54458
"dakota, ne",47062
"dawes, ne",43101
"dawson, ne",49096
"deuel, ne",43738
"dixon, ne",49974
"dodge, ne",52445
"douglas, ne",65737
"dundy, ne",86360
"fillmore, ne",63206
"franklin, ne",57959
"frontier, ne",46216
"furnas, ne",53727
"gage, ne",52843
"garden, ne",50671
"garfield, ne",47856
"gosper, ne",59049
"grant, ne",54922
"greeley, ne",56500
"hall, ne",47793
"hamilton, ne",61230
"harlan, ne",57828
"hayes, ne",79926
"hitchcock, ne",46667
"holt, ne",59853
"hooker, ne",54516
"howard, ne",50857
"jefferson, ne",53407
"johnson, ne",39498
"kearney, ne",61585
"keith, ne",51040
"keya paha, ne",66705
"kimball, ne",50075
"knox, ne",53356
"lancaster, ne",52887
"lincoln, ne",54043
"logan, ne",58616
"loup, ne",61740
"madison, ne",55104
"mcpherson, ne",62907
"merrick, ne",50870
"morrill, ne",63120
"nance, ne",46091
"nemaha, ne",51548
"nuckolls, ne",59449
"otoe, ne",57873
"pawnee, ne",51436
"perkins, ne",71191
"phelps, ne",59324
"pierce, ne",62493
"platte, ne",52316
"polk, ne",57312
"red willow, ne",52196
"richardson, ne",54773
"rock, ne",72590
"saline, ne",47785
"sarpy, ne",55173
"saunders, ne",56892
"scotts bluff, ne",49048
"seward, ne",56220
"sheridan, ne",56597
"sherman, ne",50461
"sioux, ne",64440
"stanton, ne",52621
"thayer, ne",60659
"thomas, ne",57805
"thurston, ne",45789
"valley, ne",59867
"washington, ne",60738
"wayne, ne",49143
"webster, ne",53815
"wheeler, ne",70710
"york, ne",56457
"carson city, nv",56510
"churchill, nv",50081
"clark, nv",51244
"douglas, nv",78416
"elko, nv",50429
"esmeralda, nv",42962
"eureka, nv",46792
"humboldt, nv",51772
"lander, nv",72931
"lincoln, nv",43357
"lyon, nv",44098
"mineral, nv",48982
"nye, nv",41367
"pershing, nv",37906
"storey, nv",65971
"washoe, nv",66076
"white pine, nv",50653
"belknap, nh",66919
"carroll, nh",63403
"cheshire, nh",56088
"coos, nh",49564
"grafton, nh",67943
"hillsborough, nh",66548
"merrimack, nh",63839
"rockingham, nh",80220
"strafford, nh",56104
"sullivan, nh",57602
"atlantic, nj",55802
"bergen, nj",91972
"burlington, nj",67154
"camden, nj",58830
"cape may, nj",67836
"cumberland, nj",45498
"essex, nj",70497
"gloucester, nj",60386
"hudson, nj",71682
"hunterdon, nj",95088
"mercer, nj",74218
"middlesex, nj",66640
"monmouth, nj",86091
"morris, nj",102227
"ocean, nj",57344
"passaic, nj",55775
"salem, nj",54578
"somerset, nj",112825
"sussex, nj",67814
"union, nj",72543
"warren, nj",60525
"bernalillo, nm",48683
"catron, nm",36171
"chaves, nm",43615
"cibola, nm",32755
"colfax, nm",45610
"curry, nm",48894
"de baca, nm",56603
"doña ana, nm",40218
"eddy, nm",62356
"grant, nm",45561
"guadalupe, nm",39140
"harding, nm",50723
"hidalgo, nm",48166
"lea, nm",47215
"lincoln, nm",44732
"los alamos, nm",76142
"luna, nm",38022
"mckinley, nm",32804
"mora, nm",45300
"otero, nm",38779
"quay, nm",44691
"rio arriba, nm",40771
"roosevelt, nm",46999
"san juan, nm",38370
"san miguel, nm",40675
"sandoval, nm",47257
"santa fe, nm",63004
"sierra, nm",47388
"socorro, nm",39055
"taos, nm",42965
"torrance, nm",37276
"union, nm",41932
"valencia, nm",38918
"albany, ny",66632
"allegany, ny",40840
"bronx, ny",43919
"broome, ny",49314
"cattaraugus, ny",45200
"cayuga, ny",48585
"chautauqua, ny",45357
"chemung, ny",49439
"chenango, ny",47842
"clinton, ny",48292
"columbia, ny",60859
"cortland, ny",45776
"delaware, ny",45822
"dutchess, ny",62319
"erie, ny",56748
"essex, ny",50824
"franklin, ny",42525
"fulton, ny",48957
"genesee, ny",49468
"greene, ny",52484
"hamilton, ny",60014
"herkimer, ny",47266
"jefferson, ny",53964
"kings, ny",59468
"lewis, ny",51992
"livingston, ny",49382
"madison, ny",49137
"monroe, ny",58299
"montgomery, ny",46332
"nassau, ny",96253
"new york, ny",191220
"niagara, ny",51506
"oneida, ny",50201
"onondaga, ny",58919
"ontario, ny",59335
"orange, ny",57688
"orleans, ny",44477
"oswego, ny",46210
"otsego, ny",49275
"putnam, ny",73152
"queens, ny",57085
"rensselaer, ny",54748
"richmond, ny",62558
"rockland, ny",66350
"saratoga, ny",77398
"schenectady, ny",58210
"schoharie, ny",46469
"schuyler, ny",46971
"seneca, ny",44065
"st. lawrence, ny",43034
"steuben, ny",50331
"suffolk, ny",76713
"sullivan, ny",52249
"tioga, ny",50990
"tompkins, ny",49486
"ulster, ny",56071
"warren, ny",59509
"washington, ny",46305
"wayne, ny",51282
"westchester, ny",115386
"wyoming, ny",47331
"yates, ny",45258
"alamance, nc",43973
"alexander, nc",40176
"alleghany, nc",40599
"anson, nc",38785
"ashe, nc",39612
"avery, nc",39437
"beaufort, nc",46363
"bertie, nc",40351
"bladen, nc",39264
"brunswick, nc",46829
"buncombe, nc",53309
"burke, nc",38946
"cabarrus, nc",49679
"caldwell, nc",38894
"camden, nc",48642
"carteret, nc",53276
"caswell, nc",39265
"catawba, nc",49193
"chatham, nc",66766
"cherokee, nc",36620
"chowan, nc",45388
"clay, nc",37625
"cleveland, nc",41616
"columbus, nc",37112
"craven, nc",48832
"cumberland, nc",42992
"currituck, nc",49152
"dare, nc",59240
"davidson, nc",43348
"davie, nc",52153
"duplin, nc",37872
"durham, nc",54056
"edgecombe, nc",39394
"forsyth, nc",51323
"franklin, nc",39490
"gaston, nc",44103
"gates, nc",41571
"graham, nc",37943
"granville, nc",42807
"greene, nc",34811
"guilford, nc",49856
"halifax, nc",39680
"harnett, nc",38280
"haywood, nc",43754
"henderson, nc",47385
"hertford, nc",36216
"hoke, nc",35411
"hyde, nc",42832
"iredell, nc",56201
"jackson, nc",38341
"johnston, nc",44087
"jones, nc",43254
"lee, nc",44870
"lenoir, nc",44361
"lincoln, nc",50216
"macon, nc",44564
"madison, nc",38148
"martin, nc",38301
"mcdowell, nc",37858
"mecklenburg, nc",65244
"mitchell, nc",39476
"montgomery, nc",39353
"moore, nc",54514
"nash, nc",45890
"new hanover, nc",50780
"northampton, nc",38402
"onslow, nc",43122
"orange, nc",67089
"pamlico, nc",45994
"pasquotank, nc",42529
"pender, nc",41292
"perquimans, nc",44402
"person, nc",41581
"pitt, nc",45169
"polk, nc",48125
"randolph, nc",41231
"richmond, nc",38554
"robeson, nc",33062
"rockingham, nc",40672
"rowan, nc",43724
"rutherford, nc",36714
"sampson, nc",38165
"scotland, nc",36247
"stanly, nc",42613
"stokes, nc",41186
"surry, nc",42133
"swain, nc",44213
"transylvania, nc",44747
"tyrrell, nc",37638
"union, nc",56820
"vance, nc",37774
"wake, nc",65450
"warren, nc",33779
"washington, nc",39912
"watauga, nc",40157
"wayne, nc",42882
"wilkes, nc",39518
"wilson, nc",43111
"yadkin, nc",41250
"yancey, nc",40422
"adams, nd",59255
"barnes, nd",64242
"benson, nd",45003
"billings, nd",82466
"bottineau, nd",68631
"bowman, nd",68963
"burke, nd",77237
"burleigh, nd",62801
"cass, nd",61899
"cavalier, nd",88702
"dickey, nd",71888
"divide, nd",62052
"dunn, nd",68491
"eddy, nd",74844
"emmons, nd",64430
"foster, nd",76313
"golden valley, nd",46435
"grand forks, nd",57659
"grant, nd",57761
"griggs, nd",73753
"hettinger, nd",59519
"kidder, nd",64918
"lamoure, nd",70351
"logan, nd",59859
"mchenry, nd",59320
"mcintosh, nd",70812
"mckenzie, nd",64035
"mclean, nd",66025
"mercer, nd",60497
"morton, nd",57708
"mountrail, nd",64982
"nelson, nd",75907
"oliver, nd",52076
"pembina, nd",72827
"pierce, nd",57159
"ramsey, nd",57250
"ransom, nd",65153
"renville, nd",80431
"richland, nd",54465
"rolette, nd",41884
"sargent, nd",67215
"sheridan, nd",58958
"sioux, nd",33675
"slope, nd",60039
"stark, nd",63650
"steele, nd",84674
"stutsman, nd",62694
"towner, nd",87632
"traill, nd",64096
"walsh, nd",63790
"ward, nd",57492
"wells, nd",79403
"williams, nd",64850
"adams, oh",39658
"allen, oh",46500
"ashland, oh",43041
"ashtabula, oh",43597
"athens, oh",36642
"auglaize, oh",52330
"belmont, oh",43354
"brown, oh",42275
"butler, oh",52598
"carroll, oh",44624
"champaign, oh",46605
"clark, oh",45363
"clermont, oh",60535
"clinton, oh",48542
"columbiana, oh",42771
"coshocton, oh",39640
"crawford, oh",43918
"cuyahoga, oh",59923
"darke, oh",48088
"defiance, oh",45385
"delaware, oh",79382
"erie, oh",56732
"fairfield, oh",51153
"fayette, oh",46261
"franklin, oh",55294
"fulton, oh",50349
"gallia, oh",43932
"geauga, oh",73958
"greene, oh",54645
"guernsey, oh",45218
"hamilton, oh",65035
"hancock, oh",54386
"hardin, oh",36506
"harrison, oh",42014
"henry, oh",50752
"highland, oh",41094
"hocking, oh",42337
"holmes, oh",48118
"huron, oh",45844
"jackson, oh",40663
"jefferson, oh",44375
"knox, oh",47964
"lake, oh",56085
"lawrence, oh",42905
"licking, oh",50810
"logan, oh",48471
"lorain, oh",51157
"lucas, oh",51024
"madison, oh",46679
"mahoning, oh",47729
"marion, oh",41449
"medina, oh",60514
"meigs, oh",39644
"mercer, oh",54527
"miami, oh",52469
"monroe, oh",41242
"montgomery, oh",51618
"morgan, oh",38583
"morrow, oh",44282
"muskingum, oh",46070
"noble, oh",30397
"ottawa, oh",57446
"paulding, oh",46097
"perry, oh",41913
"pickaway, oh",46033
"pike, oh",42774
"portage, oh",48285
"preble, oh",45016
"putnam, oh",54646
"richland, oh",43928
"ross, oh",42348
"sandusky, oh",46113
"scioto, oh",43820
"seneca, oh",44993
"shelby, oh",49956
"stark, oh",49592
"summit, oh",56821
"trumbull, oh",45142
"tuscarawas, oh",47937
"union, oh",64147
"van wert, oh",47339
"vinton, oh",38881
"warren, oh",65855
"washington, oh",47365
"wayne, oh",49901
"williams, oh",46040
"wood, oh",51147
"wyandot, oh",50573
"adair, ok",32724
"alfalfa, ok",43043
"atoka, ok",34758
"beaver, ok",57190
"beckham, ok",41041
"blaine, ok",44435
"bryan, ok",37561
"caddo, ok",39673
"canadian, ok",48267
"carter, ok",45874
"cherokee, ok",35764
"choctaw, ok",35627
"cimarron, ok",68446
"cleveland, ok",48042
"coal, ok",38938
"comanche, ok",45432
"cotton, ok",47794
"craig, ok",41477
"creek, ok",44706
"custer, ok",43373
"delaware, ok",35435
"dewey, ok",51656
"ellis, ok",55592
"garfield, ok",46702
"garvin, ok",42189
"grady, ok",43506
"grant, ok",53075
"greer, ok",32547
"harmon, ok",45688
"harper, ok",50223
"haskell, ok",33617
"hughes, ok",43758
"jackson, ok",46426
"jefferson, ok",37467
"johnston, ok",38971
"kay, ok",44718
"kingfisher, ok",58591
"kiowa, ok",40736
"latimer, ok",35756
"le flore, ok",35362
"lincoln, ok",39164
"logan, ok",46102
"love, ok",40353
"major, ok",45667
"marshall, ok",36800
"mayes, ok",39149
"mcclain, ok",49683
"mccurtain, ok",35511
"mcintosh, ok",38217
"murray, ok",45419
"muskogee, ok",39894
"noble, ok",47378
"nowata, ok",39961
"okfuskee, ok",33520
"oklahoma, ok",56971
"okmulgee, ok",37367
"osage, ok",38588
"ottawa, ok",40876
"pawnee, ok",39491
"payne, ok",40487
"pittsburg, ok",40786
"pontotoc, ok",47748
"pottawatomie, ok",40043
"pushmataha, ok",35650
"roger mills, ok",46054
"rogers, ok",50583
"seminole, ok",37463
"sequoyah, ok",36537
"stephens, ok",46027
"texas, ok",55434
"tillman, ok",38316
"tulsa, ok",65519
"wagoner, ok",43111
"washington, ok",58010
"washita, ok",38017
"woods, ok",47226
"woodward, ok",40710
"baker, or",46277
"benton, or",50399
"clackamas, or",64791
"clatsop, or",48777
"columbia, or",48749
"coos, or",50581
"crook, or",46179
"curry, or",48046
"deschutes, or",61216
"douglas, or",46342
"gilliam, or",67754
"grant, or",47569
"harney, or",47009
"hood river, or",60225
"jackson, or",51824
"jefferson, or",39552
"josephine, or",46913
"klamath, or",44513
"lake, or",47402
"lane, or",49583
"lincoln, or",47231
"linn, or",48040
"malheur, or",37964
"marion, or",48135
"morrow, or",58541
"multnomah, or",63852
"polk, or",45660
"sherman, or",66349
"tillamook, or",48060
"umatilla, or",46209
"union, or",45242
"wallowa, or",50303
"wasco, or",48643
"washington, or",66831
"wheeler, or",41366
"yamhill, or",51028
"adams, pa",54172
"allegheny, pa",68777
"armstrong, pa",51200
"beaver, pa",55449
"bedford, pa",46246
"berks, pa",55953
"blair, pa",52096
"bradford, pa",45979
"bucks, pa",80627
"butler, pa",64732
"cambria, pa",48637
"cameron, pa",53654
"carbon, pa",56868
"centre, pa",50615
"chester, pa",91927
"clarion, pa",45427
"clearfield, pa",50648
"clinton, pa",46338
"columbia, pa",47464
"crawford, pa",46356
"cumberland, pa",61596
"dauphin, pa",56792
"delaware, pa",73588
"elk, pa",53592
"erie, pa",50536
"fayette, pa",48007
"forest, pa",28271
"franklin, pa",51979
"fulton, pa",48976
"greene, pa",49103
"huntingdon, pa",43555
"indiana, pa",44472
"jefferson, pa",48971
"juniata, pa",50257
"lackawanna, pa",52580
"lancaster, pa",58434
"lawrence, pa",49059
"lebanon, pa",52743
"lehigh, pa",58402
"luzerne, pa",50391
"lycoming, pa",48721
"mckean, pa",47361
"mercer, pa",47063
"mifflin, pa",44242
"monroe, pa",48409
"montgomery, pa",86340
"montour, pa",62658
"northampton, pa",60179
"northumberland, pa",47336
"perry, pa",50095
"philadelphia, pa",58941
"pike, pa",53289
"potter, pa",47910
"schuylkill, pa",47425
"snyder, pa",47000
"somerset, pa",47035
"sullivan, pa",51266
"susquehanna, pa",49114
"tioga, pa",45319
"union, pa",45235
"venango, pa",47125
"warren, pa",46793
"washington, pa",62473
"wayne, pa",49172
"westmoreland, pa",57951
"wyoming, pa",50959
"york, pa",55761
"bristol, ri",83127
"kent, ri",65299
"newport, ri",76214
"providence, ri",53844
"washington, ri",71717
"abbeville, sc",38033
"aiken, sc",47118
"allendale, sc",38991
"anderson, sc",43459
"bamberg, sc",37596
"barnwell, sc",38682
"beaufort, sc",61298
"berkeley, sc",44134
"calhoun, sc",44655
"charleston, sc",66656
"cherokee, sc",36567
"chester, sc",38931
"chesterfield, sc",34477
"clarendon, sc",38001
"colleton, sc",40336
"darlington, sc",41928
"dillon, sc",33030
"dorchester, sc",42662
"edgefield, sc",41178
"fairfield, sc",41827
"florence, sc",46749
"georgetown, sc",51775
"greenville, sc",52213
"greenwood, sc",40786
"hampton, sc",39185
"horry, sc",42110
"jasper, sc",34446
"kershaw, sc",45782
"lancaster, sc",52999
"laurens, sc",38108
"lee, sc",36638
"lexington, sc",50188
"marion, sc",36606
"marlboro, sc",35748
"mccormick, sc",42422
"newberry, sc",41910
"oconee, sc",47511
"orangeburg, sc",38730
"pickens, sc",41770
"richland, sc",49678
"saluda, sc",37637
"spartanburg, sc",46543
"sumter, sc",43003
"union, sc",37515
"williamsburg, sc",38528
"york, sc",51772
"aurora, sd",50586
"beadle, sd",54493
"bennett, sd",41856
"bon homme, sd",43555
"brookings, sd",49278
"brown, sd",62587
"brule, sd",54352
"buffalo, sd",26748
"butte, sd",41250
"campbell, sd",71645
"charles mix, sd",47405
"clark, sd",70492
"clay, sd",43533
"codington, sd",55331
"corson, sd",31442
"custer, sd",53169
"davison, sd",55832
"day, sd",64064
"deuel, sd",62036
"dewey, sd",45889
"douglas, sd",62134
"edmunds, sd",67747
"fall river, sd",51509
"faulk, sd",67007
"grant, sd",65019
"gregory, sd",50244
"haakon, sd",66588
"hamlin, sd",51773
"hand, sd",69452
"hanson, sd",72728
"harding, sd",50355
"hughes, sd",55872
"hutchinson, sd",59341
"hyde, sd",64756
"jackson, sd",30705
"jerauld, sd",49991
"jones, sd",59264
"kingsbury, sd",70268
"lake, sd",57367
"lawrence, sd",55779
"lincoln, sd",74493
"lyman, sd",46934
"marshall, sd",65540
"mccook, sd",60576
"mcpherson, sd",60086
"meade, sd",49875
"mellette, sd",33840
"miner, sd",65604
"minnehaha, sd",64846
"moody, sd",60754
"oglala lakota, sd",29721
"pennington, sd",56496
"perkins, sd",48591
"potter, sd",87915
"roberts, sd",46059
"sanborn, sd",61709
"spink, sd",71321
"stanley, sd",60870
"sully, sd",100301
"todd, sd",28440
"tripp, sd",56765
"turner, sd",69250
"union, sd",123000
"walworth, sd",54033
"yankton, sd",55638
"ziebach, sd",26103
"anderson, tn",46225
"bedford, tn",41795
"benton, tn",36438
"bledsoe, tn",29572
"blount, tn",48601
"bradley, tn",42546
"campbell, tn",37229
"cannon, tn",39178
"carroll, tn",38461
"carter, tn",36431
"cheatham, tn",48180
"chester, tn",38107
"claiborne, tn",38347
"clay, tn",34456
"cocke, tn",36279
"coffee, tn",42990
"crockett, tn",42410
"cumberland, tn",40087
"davidson, tn",71659
"decatur, tn",44401
"dekalb, tn",42229
"dickson, tn",44476
"dyer, tn",44761
"fayette, tn",59214
"fentress, tn",36398
"franklin, tn",42890
"gibson, tn",41846
"giles, tn",41074
"grainger, tn",37480
"greene, tn",39310
"grundy, tn",36129
"hamblen, tn",40627
"hamilton, tn",55911
"hancock, tn",31243
"hardeman, tn",33036
"hardin, tn",43171
"hawkins, tn",37460
"haywood, tn",37669
"henderson, tn",39940
"henry, tn",44075
"hickman, tn",36316
"houston, tn",36777
"humphreys, tn",41569
"jackson, tn",34645
"jefferson, tn",40493
"johnson, tn",35745
"knox, tn",54642
"lake, tn",25921
"lauderdale, tn",35267
"lawrence, tn",37918
"lewis, tn",38830
"lincoln, tn",45271
"loudon, tn",53519
"macon, tn",35472
"madison, tn",46574
"marion, tn",42471
"marshall, tn",42427
"maury, tn",47100
"mcminn, tn",39986
"mcnairy, tn",35687
"meigs, tn",37539
"monroe, tn",37822
"montgomery, tn",45871
"moore, tn",44085
"morgan, tn",33373
"obion, tn",45152
"overton, tn",37105
"perry, tn",37130
"pickett, tn",40804
"polk, tn",36639
"putnam, tn",42722
"rhea, tn",38408
"roane, tn",44706
"robertson, tn",46746
"rutherford, tn",45374
"scott, tn",33425
"sequatchie, tn",42009
"sevier, tn",44209
"shelby, tn",53855
"smith, tn",42452
"stewart, tn",44108
"sullivan, tn",45789
"sumner, tn",52403
"tipton, tn",43147
"trousdale, tn",32960
"unicoi, tn",39357
"union, tn",35370
"van buren, tn",34084
"warren, tn",37857
"washington, tn",47940
"wayne, tn",32631
"weakley, tn",41159
"white, tn",36062
"williamson, tn",94748
"wilson, tn",53628
"anderson, tx",38807
"andrews, tx",50248
"angelina, tx",42536
"aransas, tx",54374
"archer, tx",55290
"armstrong, tx",60233
"atascosa, tx",41599
"austin, tx",55686
"bailey, tx",49737
"bandera, tx",48461
"bastrop, tx",42177
"baylor, tx",53984
"bee, tx",31834
"bell, tx",46594
"bexar, tx",48569
"blanco, tx",58805
"borden, tx",66783
"bosque, tx",45635
"bowie, tx",44151
"brazoria, tx",51812
"brazos, tx",43430
"brewster, tx",52483
"briscoe, tx",45758
"brooks, tx",41529
"brown, tx",42771
"burleson, tx",49975
"burnet, tx",53751
"caldwell, tx",38734
"calhoun, tx",52180
"callahan, tx",45798
"cameron, tx",33690
"camp, tx",40272
"carson, tx",48021
"cass, tx",41275
"castro, tx",71612
"chambers, tx",59687
"cherokee, tx",38190
"childress, tx",34028
"clay, tx",48038
"cochran, tx",44903
"coke, tx",45856
"coleman, tx",47128
"collin, tx",71246
"collingsworth, tx",44903
"colorado, tx",51732
"comal, tx",62994
