city_state,income_avg
"prowers, co",41990
"pueblo, co",43196
"rio blanco, co",52422
"rio grande, co",53641
"routt, co",85836
"saguache, co",40032
"san juan, co",50039
"san miguel, co",93954
"sedgwick, co",50896
"summit, co",77754
"teller, co",54587
"washington, co",49287
"weld, co",52054
"yuma, co",47285
"fairfield, ct",120244
"hartford, ct",67938
"litchfield, ct",67118
"middlesex, ct",71291
"new haven, ct",60092
"new london, ct",61191
"tolland, ct",59590
"windham, ct",50747
"kent, de",46600
"new castle, de",59955
"sussex, de",54352
"alachua, fl",49556
"baker, fl",36552
"bay, fl",50696
"bradford, fl",36301
"brevard, fl",51507
"broward, fl",55908
"calhoun, fl",32264
"charlotte, fl",45606
"citrus, fl",41933
"clay, fl",47407
"collier, fl",103865
"columbia, fl",38243
"desoto, fl",27863
"dixie, fl",30651
"duval, fl",51131
"escambia, fl",47381
"flagler, fl",50599
"franklin, fl",39452
"gadsden, fl",38507
"gilchrist, fl",37425
"glades, fl",28116
"gulf, fl",49666
"hamilton, fl",29383
"hardee, fl",31775
"hendry, fl",35546
"hernando, fl",41385
"highlands, fl",37158
"hillsborough, fl",51848
"holmes, fl",34661
"indian river, fl",84607
"jackson, fl",38710
"jefferson, fl",44065
"lafayette, fl",30032
"lake, fl",46563
"lee, fl",54707
"leon, fl",48850
"levy, fl",40598
"liberty, fl",28496
"madison, fl",35828
"manatee, fl",52395
"marion, fl",41553
"martin, fl",89185
"miami-dade, fl",57213
"monroe, fl",106583
"nassau, fl",64746
"okaloosa, fl",54630
"okeechobee, fl",34998
"orange, fl",49390
"osceola, fl",39210
"palm beach, fl",87478
"pasco, fl",45461
"pinellas, fl",59178
"polk, fl",39760
"putnam, fl",36354
"santa rosa, fl",49472
"sarasota, fl",70884
"seminole, fl",53403
"st. johns, fl",73944
"st. lucie, fl",43970
"sumter, fl",54533
"suwannee, fl",35987
"taylor, fl",33227
"union, fl",24593
"volusia, fl",46475
"wakulla, fl",39938
"walton, fl",69862
"washington, fl",32862
"appling, ga",39199
"atkinson, ga",31938
"bacon, ga",38281
"baker, ga",43156
"baldwin, ga",36399
"banks, ga",37333
"barrow, ga",40435
"bartow, ga",42734
"ben hill, ga",36234
"berrien, ga",35260
"bibb, ga",44830
"bleckley, ga",36712
"brantley, ga",30007
"brooks, ga",40221
"bryan, ga",56648
"bulloch, ga",35376
"burke, ga",41973
"butts, ga",37403
"calhoun, ga",28426
"camden, ga",39262
"candler, ga",36613
"carroll, ga",42058
"catoosa, ga",38815
"charlton, ga",27192
"chatham, ga",51805
"chattahoochee, ga",33166
"chattooga, ga",33855
"cherokee, ga",56278
"clarke, ga",37588
"clay, ga",38731
"clayton, ga",32702
"clinch, ga",44238
"cobb, ga",63214
"coffee, ga",35507
"colquitt, ga",37418
"columbia, ga",54420
"cook, ga",36301
"coweta, ga",52106
"crawford, ga",37563
"crisp, ga",37250
"dade, ga",37327
"dawson, ga",48170
"decatur, ga",40879
"dekalb, ga",56428
"dodge, ga",33419
"dooly, ga",34582
"dougherty, ga",40161
"douglas, ga",40264
"early, ga",42889
"echols, ga",31945
"effingham, ga",45069
"elbert, ga",38414
"emanuel, ga",37678
"evans, ga",37408
"fannin, ga",39796
"fayette, ga",71384
"floyd, ga",41238
"forsyth, ga",67859
"franklin, ga",35134
"fulton, ga",95683
"gilmer, ga",37542
"glascock, ga",36615
"glynn, ga",50480
"gordon, ga",37759
"grady, ga",37725
"greene, ga",61326
"gwinnett, ga",46886
"habersham, ga",36691
"hall, ga",48759
"hancock, ga",33557
"haralson, ga",39401
"harris, ga",51168
"hart, ga",39402
"heard, ga",34362
"henry, ga",43812
"houston, ga",46579
"irwin, ga",38364
"jackson, ga",45099
"jasper, ga",40541
"jeff davis, ga",34341
"jefferson, ga",39544
"jenkins, ga",33497
"johnson, ga",27965
"jones, ga",41436
"lamar, ga",37303
"lanier, ga",31021
"laurens, ga",41650
"lee, ga",51908
"liberty, ga",40087
"lincoln, ga",40424
"long, ga",29738
"lowndes, ga",41117
"lumpkin, ga",41181
"macon, ga",33955
"madison, ga",38890
"marion, ga",31621
"mcduffie, ga",41111
"mcintosh, ga",34500
"meriwether, ga",39121
"miller, ga",49844
"mitchell, ga",39711
"monroe, ga",48985
"montgomery, ga",34061
"morgan, ga",55032
"murray, ga",33841
