ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"stillwater, mn",44,48462.64,1101.42
"bloomington, mn",91,106244.32,1167.52
"elliston, va",1,1585.82,1585.82
"hanover, ma",17,17127.53,1007.50
"marion, ma",9,6332.93,703.66
"ruskin, fl",10,11702.14,1170.21
"lakewood, ca",36,24632.71,684.24
"los alamitos, ca",30,24535.38,817.85
"hilliard, oh",65,59298.99,912.29
"pompton plains, nj",9,6669.40,741.04
"ocean city, nj",16,16618.37,1038.65
"boynton beach, fl",82,82256.84,1003.13
"west islip, ny",6,4832.70,805.45
"la quinta, ca",18,15661.09,870.06
"melrose, ma",94,65874.43,700.79
"concord, ma",63,60495.74,960.25
"franklin, tn",254,278992.13,1098.39
"short hills, nj",58,59669.47,1028.78
"titusville, nj",10,12264.22,1226.42
"leesburg, va",180,217308.44,1207.27
"ridgefield, ct",69,58063.82,841.50
"greenville, nc",48,73787.02,1537.23
"nyack, ny",26,20599.43,792.29
"oxnard, ca",65,70850.26,1090.00
"camarillo, ca",88,76336.22,867.46
"poughkeepsie, ny",41,36241.17,883.93
"gray, ga",1,319.93,319.93
"phoenixville, pa",70,52747.47,753.54
"ewing, nj",20,13798.55,689.93
"landrum, sc",4,1807.23,451.81
"east aurora, ny",12,12600.87,1050.07
"los gatos, ca",176,139006.15,789.81
"elgin, il",51,43352.20,850.04
"mamaroneck, ny",32,31057.28,970.54
"levittown, pa",19,18496.23,973.49
"hampstead, md",7,5977.38,853.91
"billings, mt",67,60371.60,901.07
"jamesville, ny",11,7769.52,706.32
"warminster, pa",13,10004.28,769.56
"encino, ca",98,79355.54,809.75
"lunenburg, ma",7,5666.80,809.54
"riceville, ia",1,41.73,41.73
"college station, tx",127,162587.81,1280.22
"west bend, wi",13,11314.79,870.37
"sandy, or",16,14932.00,933.25
"brookfield, wi",48,35550.38,740.63
"oregon city, or",53,46814.59,883.29
"neskowin, or",3,3023.00,1007.67
"east lansing, mi",57,93623.28,1642.51
"blue ash, oh",28,25587.61,913.84
"superior, co",46,35905.99,780.57
"los alamos, nm",42,37506.12,893.00
"orion, mi",1,1045.16,1045.16
"newton, ma",171,133211.48,779.01
"stroud, ok",1,3383.39,3383.39
"columbia, mo",120,126056.62,1050.47
"palo alto, ca",365,362762.59,993.87
"evington, va",2,2045.98,1022.99
"mckinney, tx",306,347877.52,1136.85
"harrisburg, nc",20,18810.58,940.53
"orange, nj",5,2840.49,568.10
"highlands, nj",8,8009.66,1001.21
"carmichael, ca",46,30660.41,666.53
"buffalo, ny",166,149818.65,902.52
"campbell, ca",149,123808.68,830.93
"durango, co",98,93530.42,954.39
"round hill, va",8,8988.74,1123.59
"arnold, mo",15,16257.40,1083.83
"palmdale, ca",30,30854.30,1028.48
"brooklyn heights, ny",26,18683.13,718.58
"hendersonville, nc",41,29610.41,722.21
"addison, tx",48,62923.08,1310.90
"rochester hills, mi",60,53669.52,894.49
"allentown, pa",50,44279.59,885.59
"ocala, fl",64,56812.95,887.70
"leawood, ks",46,47149.56,1024.99
"carnation, wa",37,36801.55,994.64
"normal, il",44,28148.52,639.74
"northfield, mn",19,11428.33,601.49
"dobbs ferry, ny",24,19417.93,809.08
"birmingham, mi",64,52397.07,818.70
"rancho palos verdes, ca",64,55180.80,862.20
"powell, tn",9,5399.16,599.91
"estero, fl",41,39767.33,969.93
"lake mary, fl",60,59311.24,988.52
"blaine, mn",51,51222.43,1004.36
"milton, ny",2,1294.92,647.46
"lincolnshire, il",18,13109.80,728.32
"richardson, tx",204,176346.76,864.44
"tonawanda, ny",15,12638.94,842.60
"highland, ny",15,10171.07,678.07
"ithaca, ny",111,103111.44,928.93
"davidson, nc",58,54373.76,937.48
"mobile, al",50,46786.24,935.72
"ames, ia",80,71183.81,889.80
"newcastle, ok",4,3183.48,795.87
"wilmington, de",174,158989.00,913.73
"camp hill, pa",23,25255.56,1098.07
"concord, nc",65,73526.13,1131.17
"prairie village, ks",30,24750.45,825.02
"fairbanks, ak",12,18226.02,1518.84
"south jordan, ut",129,131115.01,1016.40
"cloverdale, ca",6,3116.30,519.38
"atlantic beach, fl",21,13107.09,624.15
"la grange park, il",15,9509.80,633.99
"napa, ca",100,89422.65,894.23
"timonium, md",12,11662.69,971.89
"lenox, ma",9,13755.00,1528.33
"the woodlands, tx",91,100744.43,1107.08
"roseburg, or",21,38371.00,1827.19
"taylor, mi",11,11390.76,1035.52
"belcamp, md",5,8134.49,1626.90
"deland, fl",25,21855.80,874.23
"richmond heights, mo",9,6910.20,767.80
"yakima, wa",34,29684.06,873.06
"lakewood, oh",58,49313.70,850.24
"minot, nd",18,27308.49,1517.14
"renton, wa",254,220769.75,869.17
"newberry, fl",11,13781.71,1252.88
"san carlos, ca",164,123439.79,752.68
"waltham, ma",164,148764.71,907.10
"apopka, fl",54,72186.04,1336.78
"shelburne, vt",25,14998.18,599.93
"woodbury, mn",121,132476.98,1094.85
"tomah, wi",6,7088.57,1181.43
"edina, mn",114,114247.48,1002.17
"everett, wa",160,168621.07,1053.88
"baltimore, md",485,463068.91,954.78
"westwood, ma",46,31516.71,685.15
"valley village, ca",45,44161.70,981.37
"williamstown, nj",13,12282.02,944.77
"manchester, ma",17,9396.12,552.71
"lodi, wi",7,5063.49,723.36
"westborough, ma",46,41115.02,893.80
"maple valley, wa",77,74169.57,963.24
"mesa, az",278,255626.56,919.52
"jamaica plain, ma",85,60261.19,708.96
"jamaica, ny",58,93837.51,1617.89
"falls church, va",246,208667.99,848.24
"studio city, ca",131,99014.65,755.84
"westford, ma",61,49291.70,808.06
"hammonton, nj",4,3781.99,945.50
"corona del mar, ca",30,28453.49,948.45
