ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"itasca, il",35,35692.27,1019.78
"mount pocono, pa",1,907.36,907.36
"needville, tx",2,3698.69,1849.35
"west dover, vt",5,4963.93,992.79
"salina, ks",15,15255.47,1017.03
"eden, nc",1,95.23,95.23
"marion, ny",1,603.94,603.94
"waban, ma",27,26482.13,980.82
"west deptford, nj",9,5310.27,590.03
"farmington, ct",25,27131.52,1085.26
"maryland heights, mo",21,15957.98,759.90
"sleepy hollow, ny",28,28017.88,1000.64
"cologne, mn",2,1851.14,925.57
"houlton, wi",1,514.84,514.84
"dunn, nc",2,842.09,421.05
"grovetown, ga",27,18421.63,682.28
"allston, ma",26,22614.00,869.77
"wilmington, vt",3,1764.65,588.22
"wendell, nc",21,16388.37,780.40
"canfield, oh",20,29753.32,1487.67
"prineville, or",23,25732.00,1118.78
"arrowsic, me",1,94.95,94.95
"pitkin, la",1,89.77,89.77
"new boston, nh",9,6918.40,768.71
"syosset, ny",26,28389.16,1091.89
"lakeland, fl",91,81650.62,897.26
"broken arrow, ok",42,38043.97,905.81
"granville, oh",17,10249.44,602.91
"hawthorne, ca",64,99908.92,1561.08
"narvon, pa",1,179.14,179.14
"dulles, va",18,23930.58,1329.48
"brick, nj",21,14073.01,670.14
"bolton, ct",2,2445.06,1222.53
"montebello, ca",21,13472.84,641.56
"upland, ca",60,60469.65,1007.83
"amityville, ny",9,6898.46,766.50
"nantucket, ma",26,28977.45,1114.52
"conneaut, oh",1,319.18,319.18
"jurupa valley, ca",11,10480.63,952.78
"national city, ca",20,19707.63,985.38
"hummelstown, pa",21,17866.26,850.77
"santa rosa valley, ca",3,4013.30,1337.77
"swannanoa, nc",9,6613.67,734.85
"rensselaer, in",2,908.00,454.00
"lyon station, pa",11,16145.00,1467.73
"la palma, ca",23,18446.58,802.03
"hooper, ut",7,3273.28,467.61
"uniontown, oh",6,4320.96,720.16
"grover beach, ca",3,3190.02,1063.34
"briarcliff manor, ny",23,15007.00,652.48
"long beach, wa",2,4378.05,2189.03
"corning, ny",3,2298.15,766.05
"montrose, co",13,12406.60,954.35
"lowell, ma",48,57149.29,1190.61
"millers creek, nc",2,1154.74,577.37
"brookings, or",5,1241.99,248.40
"signal mountain, tn",16,13125.37,820.34
"thornton, pa",4,3281.33,820.33
"porter ranch, ca",49,44509.33,908.35
"cantonment, fl",6,4126.04,687.67
"freehold, nj",34,29327.97,862.59
"glen spey, ny",1,1134.65,1134.65
"auburn, in",5,2149.62,429.92
"cardington, oh",3,2672.68,890.89
"east berlin, pa",6,7155.42,1192.57
"thompsons station, tn",22,23022.26,1046.47
"union, wv",4,2850.52,712.63
"marlton, nj",35,23237.17,663.92
"lake vila, il",1,952.00,952.00
"ashland city, tn",5,3115.12,623.02
"east amherst, ny",14,12193.68,870.98
"pittsburg, ca",34,32707.53,961.99
"saint peters, mo",43,42169.00,980.67
"crossroads, tx",3,2907.60,969.20
"washougal, wa",24,23638.78,984.95
"merrillville, in",6,4487.69,747.95
"jefferson, la",2,984.44,492.22
"carencro, la",5,2473.55,494.71
"provo, ut",86,95749.33,1113.36
"berrien springs, mi",4,2183.60,545.90
"binghamton, ny",22,13054.24,593.37
"marshall, mo",2,1034.20,517.10
"foothill ranch, ca",16,17557.97,1097.37
"abilene, tx",51,53650.44,1051.97
"liberty lake, wa",24,16017.55,667.40
"ukiah, ca",11,22504.48,2045.86
"winooski, vt",22,18947.67,861.26
"minneola, fl",10,10843.88,1084.39
"mabton, wa",3,4680.07,1560.02
"rexburg, id",12,25711.71,2142.64
"silverado, ca",1,679.90,679.90
"caldwell, id",12,23429.18,1952.43
"mccordsville, in",10,6561.28,656.13
"kirksville, mo",5,2872.00,574.40
"allendale, nj",22,22784.48,1035.66
"lincoln, ca",40,32612.14,815.30
"west seneca, ny",7,6151.99,878.86
"perry, ga",7,7585.12,1083.59
"spofford, nh",2,1054.20,527.10
"falmouth, me",40,32345.39,808.63
"sterling, ma",10,9635.83,963.58
"cranbury, nj",17,13805.81,812.11
"baker, la",4,6565.73,1641.43
"west brandywine, pa",2,1417.22,708.61
"lindstrom, mn",7,6668.39,952.63
"placerville, ca",13,16010.50,1231.58
"jonestown, tx",12,10818.52,901.54
"lantana, tx",13,13296.37,1022.80
"guerneville, ca",3,2545.17,848.39
"foristell, mo",1,847.00,847.00
"holland, ma",1,732.06,732.06
"lawrence township, nj",21,20889.49,994.74
"creve coeur, mo",8,8044.00,1005.50
"rogers, ar",68,74779.35,1099.70
"whitestone, ny",18,11487.71,638.21
"beebe, ar",2,449.21,224.61
"grand george, ny",1,869.40,869.40
"hemet, ca",8,4640.32,580.04
"hacienda heights, ca",25,20580.96,823.24
"prairie view, il",3,1700.44,566.81
"pleasant prairie, wi",11,10395.34,945.03
"santa rosa beach, fl",20,18078.80,903.94
"forest grove, or",20,32128.00,1606.40
"harlingen, tx",8,11464.87,1433.11
"pacheco, ca",2,4107.71,2053.86
"farmington, mo",10,4040.15,404.02
"versailles, oh",1,101.24,101.24
"moonachie, nj",3,833.17,277.72
"norcross, ga",44,44355.90,1008.09
"fargo, nd",74,92062.59,1244.09
"summerville, sc",61,61877.43,1014.38
"arcadia, in",1,70.00,70.00
"eau claire, wi",43,48284.01,1122.88
"high springs, fl",3,2108.17,702.72
"west newton, ma",16,8651.02,540.69
"benton harbor, mi",13,32062.88,2466.38
"milton, vt",13,9043.49,695.65
"palmer, ak",10,22882.92,2288.29
"silverthorne, co",16,16335.79,1020.99
"clinton, tn",12,21855.34,1821.28
"evans, ga",34,39499.93,1161.76
"south portland, me",51,46666.92,915.04
"scott depot, wv",1,396.23,396.23
"chester, va",13,11717.68,901.36
"clover, sc",12,8833.82,736.15
"la grange, ky",15,21167.35,1411.16
"fairfax, vt",8,4319.49,539.94
"bellville, tx",2,1056.74,528.37
"marshfield, mo",3,1938.77,646.26
"brunswick, oh",19,16763.17,882.27
"rogers, mn",14,18365.17,1311.80
"bland, va",1,586.52,586.52
"murrieta, ca",59,55915.41,947.72
"new braunfels, tx",114,111606.35,979.00
"kennebunkport, me",7,3978.82,568.40
"kingfield, me",1,94.95,94.95
"rancho cordova, ca",53,52937.01,998.81
"yankton, sd",6,4716.90,786.15
"mukwonago, wi",8,7037.18,879.65
"melbourne, ar",1,105.93,105.93
"mission hills, ca",12,13766.45,1147.20
"westbury, ny",16,10743.02,671.44
"new milford, ct",11,6606.44,600.59
"copper canyon, tx",2,495.79,247.90
"vadnais heights, mn",23,20174.59,877.16
"corona, ny",4,3059.38,764.85
"york, ne",3,4362.35,1454.12
"summerset, sd",4,6904.40,1726.10
"salem, wi",2,1547.69,773.85
"raymond, ca",2,1239.13,619.57
"langhorne, pa",21,17175.65,817.89
"beaver, pa",6,5449.78,908.30
"valdese, nc",1,849.00,849.00
"north palm beach, fl",15,22929.66,1528.64
"blue island, il",3,3068.50,1022.83
"ponte vedra beach, fl",47,41877.01,891.00
"blackfoot, id",8,58892.54,7361.57
"chambersburg, pa",16,10727.17,670.45
"grand island, ne",6,2556.56,426.09
"plainfield, nh",2,1493.00,746.50
"hudson, wi",54,50505.61,935.29
"northglenn, co",22,22423.89,1019.27
"east setauket, ny",14,14548.91,1039.21
"ramsey, nj",26,22663.15,871.66
"mesquite, nv",6,5530.37,921.73
"salida, co",12,11585.54,965.46
"seminole, fl",21,19469.52,927.12
"crescent springs, ky",4,2482.73,620.68
"jenison, mi",16,11999.62,749.98
"oregon, wi",16,11705.44,731.59
"newburgh, ny",24,21160.48,881.69
"bellaire, tx",40,31053.40,776.34
"white lake, mi",24,25254.84,1052.29
"newville, pa",2,1931.32,965.66
"lyman, me",2,3487.41,1743.71
"bridgeport, pa",3,3516.02,1172.01
"san juan capistrano, ca",41,39740.46,969.28
"romeoville, il",10,7575.63,757.56
"sunny isles, fl",2,1113.00,556.50
"stone creek, oh",1,721.63,721.63
"johnson city, ny",7,4098.72,585.53
"brimfield, il",2,141.95,70.98
"lake view, ny",6,5797.47,966.25
"salado, tx",11,7180.25,652.75
"thibodaux, la",7,4114.29,587.76
"belmar, nj",10,10029.35,1002.94
"buena vista, co",6,4121.18,686.86
"north royalton, oh",15,15299.28,1019.95
"farmersville, tx",8,7437.88,929.74
"fincastle, va",2,197.97,98.99
"burton, mi",6,6620.76,1103.46
"alamosa, co",20,24482.96,1224.15
"buda, tx",64,71363.57,1115.06
"tumwater, wa",23,19259.91,837.39
"carson city, nv",20,18020.47,901.02
"radnor, pa",3,1464.07,488.02
"east brunswick, nj",36,32268.32,896.34
"morrison, co",30,22283.63,742.79
"faribault, mn",5,3819.55,763.91
"patterson, ca",3,140.25,46.75
"congers, ny",7,6225.05,889.29
"portsmouth, oh",4,416.10,104.03
"alpine, nj",3,1993.89,664.63
"acton, ca",6,3731.78,621.96
"sylmar, ca",22,15438.46,701.75
"newton center, ma",11,13449.59,1222.69
"northwood, ia",4,4734.60,1183.65
"livingston, mt",12,6757.00,563.08
"sellersburg, in",10,7478.44,747.84
"brier, wa",12,6236.73,519.73
"north kansas city, mo",18,13086.47,727.03
"strasburg, oh",3,1485.96,495.32
"lemont, il",42,47696.15,1135.62
"oakland, me",3,2081.31,693.77
"oak lawn, il",20,15795.37,789.77
"palm coast, fl",49,37598.30,767.31
"murrells inlet, sc",8,5237.96,654.75
"kingston, ma",20,14087.71,704.39
"iron river, wi",1,993.81,993.81
"waddell, az",10,6752.18,675.22
"leitchfield, ky",3,3922.00,1307.33
"east haddam, ct",5,2457.75,491.55
"slc, ut",7,7821.24,1117.32
"bal harbour, fl",2,2642.35,1321.18
"plano, il",1,1574.62,1574.62
"north hampton, nh",6,4339.99,723.33
"warrenton, va",31,33964.07,1095.62
"hayes, va",5,3979.61,795.92
"grimes, ia",13,13758.88,1058.38
"pikeville, tn",2,2734.89,1367.45
"sweet grass, mt",4,5858.40,1464.60
"n massapequa, ny",2,561.59,280.80
"birdsboro, pa",5,5204.60,1040.92
"statesboro, ga",15,12664.51,844.30
"whitmore lake, mi",8,5283.04,660.38
"lake grove, ny",6,5761.62,960.27
"minnesota city, mn",1,1049.05,1049.05
"cameron park, ca",18,15354.65,853.04
"la canada flintridge, ca",28,27567.36,984.55
"pineville, la",1,62.67,62.67
"fx station, va",1,1577.70,1577.70
"smithtown, ny",13,11949.84,919.22
"weymouth, ma",51,38945.39,763.64
"chelan, wa",4,5013.03,1253.26
"newton, nj",7,6851.73,978.82
"affton, mo",5,3871.20,774.24
"sandy springs, ga",2,2510.58,1255.29
"atherton, ca",26,24268.34,933.40
"schertz, tx",31,20772.03,670.07
"point lookout, ny",3,1092.77,364.26
"lowville, ny",3,1366.20,455.40
"tillamook, or",9,7642.39,849.15
"baytown, tx",15,27260.31,1817.35
"vero beach, fl",51,61245.46,1200.89
"beverly hills, mi",13,10783.38,829.49
"goldendale, wa",1,1717.85,1717.85
"new bern, nc",13,11468.16,882.17
"lathrop, ca",12,9645.00,803.75
"washington, il",16,8944.41,559.03
"swampscott, ma",15,10803.93,720.26
"mountain brk, al",23,25796.88,1121.60
"wentworth, sd",1,184.32,184.32
"ellwood city, pa",7,4599.55,657.08
"walpole, ma",34,32948.97,969.09
"menomonee falls, wi",34,30084.81,884.85
"plain city, oh",10,8117.90,811.79
"royse city, tx",20,18940.58,947.03
"woodhaven, ny",7,6798.37,971.20
"haworth, nj",9,7980.87,886.76
"richmond, in",4,528.57,132.14
"garden ridge, tx",5,3003.50,600.70
"hollandale, wi",1,631.95,631.95
"san juan, pr",3,4770.78,1590.26
"nesquehoning, pa",1,851.18,851.18
"belvedere, ca",10,8655.08,865.51
"sumerduck, va",4,1143.33,285.83
"metairie, la",66,62626.16,948.88
"paw paw, mi",2,932.25,466.13
"nerstrand, mn",2,876.18,438.09
"burlington, ma",36,36922.22,1025.62
"niles, il",13,9108.96,700.69
"centerton, ar",20,21525.02,1076.25
"bellingham, ma",14,15395.63,1099.69
"bay shore, ny",13,9480.36,729.26
"fort benning, ga",7,14818.88,2116.98
"brunswick, ga",7,8838.41,1262.63
"sioux city, ia",18,35454.43,1969.69
"arcata, ca",22,25811.19,1173.24
"midvale, ut",38,44439.26,1169.45
"san marcos, tx",42,40197.53,957.08
"stuarts draft, va",6,9114.56,1519.09
"willmar, mn",41,59479.52,1450.72
"middletown, nj",27,24533.98,908.67
"lauderhill, fl",3,3454.05,1151.35
"oak hill, va",9,5188.69,576.52
"three rivers, mi",4,2217.52,554.38
"plains, pa",2,1667.38,833.69
"fremont, in",4,1817.93,454.48
"riverview, fl",67,44408.51,662.81
"auberry, ca",4,1991.48,497.87
"durham, ct",3,5664.21,1888.07
"westminster, ca",48,33143.24,690.48
"phippsburg, me",3,2594.96,864.99
"newmarket, nh",18,9694.67,538.59
"rock hill, sc",40,38124.95,953.12
"bloomfield hills, mi",49,50092.42,1022.29
"grover, mo",4,3411.00,852.75
"lewiston, me",21,58114.22,2767.34
"bigfork, mt",8,15715.00,1964.38
"merrill, wi",8,5455.41,681.93
"weddington, nc",8,6045.27,755.66
"skillman, nj",22,18559.77,843.63
"waskom, tx",2,1218.90,609.45
"farmington, ut",27,42289.18,1566.27
"canton, mo",1,214.00,214.00
"vermillion, sd",6,6016.19,1002.70
"stockbridge, ga",8,5187.05,648.38
"weeki wachee, fl",4,4005.85,1001.46
"edinburg, tx",15,11002.74,733.52
"somerville, nj",18,16979.20,943.29
"wind lake, wi",3,841.05,280.35
"michigan city, in",2,2211.05,1105.53
"san pedro, ca",41,36333.82,886.19
"florence, ky",13,9602.32,738.64
"stephenson, va",8,4826.65,603.33
"windsor, ct",19,12060.53,634.76
"south windsor, ct",13,11533.18,887.17
"colts neck, nj",9,11219.08,1246.56
"lamar, mo",2,1155.20,577.60
"virginia, mn",6,6069.00,1011.50
"roswell, nm",10,17715.34,1771.53
"river edge, nj",13,7318.76,562.98
"bossier city, la",13,13538.93,1041.46
"shafter, ca",13,21559.41,1658.42
"attleboro, ma",32,31234.78,976.09
"stanford, ca",42,40024.57,952.97
"helen, ga",1,1019.71,1019.71
"lakeville, in",1,618.46,618.46
"nyssa, or",2,4474.00,2237.00
"monroe, mi",15,18585.86,1239.06
"maitland, fl",38,35757.40,940.98
"dayton, md",11,10570.11,960.92
"middleville, mi",5,5253.36,1050.67
"galveston, tx",22,20892.88,949.68
"coburg, or",3,4757.00,1585.67
"stone ridge, ny",3,1129.90,376.63
"roseville, mn",47,48546.30,1032.90
"new gloucester, me",4,1985.52,496.38
"northfield, oh",6,5722.06,953.68
"dixon, il",3,2008.12,669.37
"baldwin, ny",4,2574.41,643.60
"hideout, ut",2,2060.47,1030.24
"norwalk, ca",27,20901.62,774.13
"sheboygan, wi",27,29748.78,1101.81
"pingree, nd",1,1109.85,1109.85
"chesterfield, mi",14,12458.16,889.87
"forked river, nj",4,6280.21,1570.05
"pocono pines, pa",1,826.80,826.80
"berwyn, pa",24,23289.04,970.38
"blackwood, nj",4,6090.41,1522.60
"trophy club, tx",8,7804.60,975.58
"atascadero, ca",27,27975.74,1036.14
"pearl river, ny",8,9758.74,1219.84
"joshua tree, ca",7,2403.97,343.42
"vineyard haven, ma",6,4974.01,829.00
"park row, tx",1,2513.57,2513.57
"gambrills, md",14,16181.57,1155.83
"germantown hills, il",3,2401.25,800.42
"cary, il",13,10767.63,828.28
"murphy, tx",23,16232.12,705.74
"apple creek, oh",2,2113.20,1056.60
"pinetop, az",2,1536.78,768.39
"auburn, al",37,31701.69,856.80
"lake bluff, il",16,12286.96,767.94
"dix hills, ny",18,20119.10,1117.73
"canterbury, nh",1,1102.20,1102.20
"glenmoore, pa",16,13300.92,831.31
"washington court house, oh",3,3130.63,1043.54
"little elm, tx",77,79535.76,1032.93
"massapequa park, ny",8,8981.13,1122.64
"sanger, tx",4,3723.73,930.93
"frederick, co",8,10456.23,1307.03
"upper saddle river, nj",21,16226.42,772.69
"canoga park, ca",47,341654.75,7269.25
"sherborn, ma",23,15128.97,657.78
"shawnee, ks",55,72943.80,1326.25
"mint hill, nc",10,11940.16,1194.02
"kenosha, wi",24,18537.70,772.40
"westchester, ca",2,223.01,111.51
"ferndale, wa",24,22189.01,924.54
"newport news, va",54,63631.15,1178.35
"colchester, vt",37,32774.06,885.79
"topeka, in",1,864.77,864.77
"madelia, mn",2,1722.53,861.27
"troy, oh",16,14613.71,913.36
"rockville, in",9,9848.49,1094.28
"jeffersonville, in",14,7377.46,526.96
"richmond hill, ga",18,16660.19,925.57
"north quincy, ma",1,137.06,137.06
"mammoth lakes, ca",26,28541.51,1097.75
"indian head park, il",2,725.83,362.92
"parma heights, oh",5,2239.91,447.98
"jonesboro, ar",10,8277.18,827.72
"rock hall, md",1,316.94,316.94
"harrison, ny",13,10754.24,827.25
"brandon, fl",20,13890.77,694.54
"hobart, ok",1,1454.50,1454.50
"chicopee, ma",7,4380.69,625.81
"hutchinson, mn",15,24366.86,1624.46
"oak ridge, tn",14,16104.41,1150.32
"killington, vt",8,5038.74,629.84
"gulfport, fl",6,6441.05,1073.51
"newcastle, me",2,1989.95,994.98
"morton grove, il",13,11321.38,870.88
"columbia, ct",3,2167.41,722.47
"south grafton, ma",8,5364.44,670.56
"bedford, tx",47,50677.48,1078.24
"ada, mi",18,24169.16,1342.73
"seatac, wa",24,20423.67,850.99
"lakewood, wa",19,13180.90,693.73
"livingston manor, ny",6,3513.41,585.57
"elkins, wv",8,9528.24,1191.03
"oberlin, oh",6,8515.60,1419.27
"boca grande, fl",5,612.00,122.40
"oneonta, ny",13,9586.72,737.44
"belgrade, mt",29,51630.00,1780.34
"jerome, id",11,26813.94,2437.63
"bountiful, ut",36,38277.58,1063.27
"east hanover, nj",13,11305.45,869.65
"avon, ct",40,37366.90,934.17
"far rockaway, ny",4,2005.48,501.37
"tyler, tx",56,54679.48,976.42
"ridgway, co",4,3804.64,951.16
"crookston, mn",4,3590.07,897.52
"caledonia, mi",15,17454.80,1163.65
"millersburg, oh",18,17425.54,968.09
"wellsville, ut",4,4967.95,1241.99
"ravenna, mi",5,3623.08,724.62
"bonney lake, wa",41,36813.11,897.88
"cato, ny",4,1063.15,265.79
"cabot, ar",8,6720.87,840.11
"hancock, mn",2,2974.54,1487.27
"bohemia, ny",7,14741.75,2105.96
"sharon, ct",7,3707.35,529.62
"maryville, tn",24,22224.62,926.03
"coarsegold, ca",4,2931.46,732.87
"montevideo, mn",7,5477.57,782.51
"clarkston, wa",5,3497.68,699.54
"newbury, nh",4,1396.00,349.00
"grand island, ny",15,15550.16,1036.68
"east los angeles, ca",2,2370.24,1185.12
"brandenburg, ky",3,1512.94,504.31
"little silver, nj",13,16232.57,1248.66
"finksburg, md",11,10320.79,938.25
"manchester, mi",2,1201.40,600.70
"friday harbor, wa",16,17623.14,1101.45
"bay minette, al",3,7014.60,2338.20
"grandview heights, oh",6,6547.83,1091.31
"mauldin, sc",7,8223.33,1174.76
"weston, wi",6,4169.28,694.88
"oakland, fl",5,2213.89,442.78
"tyngsboro, ma",9,8275.86,919.54
"seeley lake, mt",1,1641.40,1641.40
"franklin, wi",20,18204.89,910.24
"greenbank, wa",5,5344.23,1068.85
"white rock, nm",14,9563.64,683.12
"baltimore city, md",1,152.64,152.64
"johnson city, tx",4,6828.21,1707.05
"leesburg, ga",7,4567.32,652.47
"voorheesville, ny",10,6019.92,601.99
"florence, mt",4,2724.20,681.05
"bristol, pa",6,4348.54,724.76
"northfield center, oh",2,385.37,192.69
"center valley, pa",16,23259.22,1453.70
"horn lake, ms",1,370.21,370.21
"upton, ma",7,6830.82,975.83
"pooler, ga",12,14060.49,1171.71
"brownstown township, mi",1,2020.78,2020.78
"iowa city, ia",77,68050.01,883.77
"san juan bautista, ca",3,989.41,329.80
"doniphan, mo",2,2798.00,1399.00
"madison, ct",30,25655.57,855.19
"augusta, ks",4,2525.19,631.30
"east bend, nc",1,1116.61,1116.61
"richland hills, tx",12,8070.46,672.54
"hatboro, pa",12,7597.65,633.14
"ocoee, fl",28,23002.66,821.52
"riverdale, ga",2,1045.08,522.54
"absecon, nj",3,986.28,328.76
"black hawk, sd",6,4081.79,680.30
"jericho, vt",9,6866.89,762.99
"worthington, in",3,1793.75,597.92
"bristow, va",27,25642.25,949.71
"south ogden, ut",5,4194.45,838.89
"north smithfield, ri",12,5579.19,464.93
"key largo, fl",7,3374.41,482.06
"rolling meadows, il",13,11586.58,891.28
"royersford, pa",25,24702.18,988.09
"antioch, tn",25,25401.42,1016.06
"harrodsburg, ky",1,1637.70,1637.70
"valley, ne",4,4535.39,1133.85
"miles city, mt",7,10867.00,1552.43
"roseville, mi",7,4689.38,669.91
"river heights, ut",4,4406.69,1101.67
"north chelmsford, ma",6,3856.25,642.71
"hockley, tx",7,7037.55,1005.36
"clarksville, ar",1,814.85,814.85
"fremont, nh",4,3248.20,812.05
"fairview, or",7,7000.00,1000.00
"fallston, md",6,3343.49,557.25
"orange, ct",16,12662.48,791.41
"benton, la",2,1192.60,596.30
"danville, pa",13,18381.46,1413.96
"franklinton, nc",3,3665.79,1221.93
"bates city, mo",2,2547.20,1273.60
"amesbury, ma",20,20865.19,1043.26
"pittstown, nj",4,5038.46,1259.62
"freeport, fl",10,10520.18,1052.02
"ellington, ct",9,9983.07,1109.23
"millstone, nj",1,137.55,137.55
"mc donald, tn",2,2616.88,1308.44
"vergennes, vt",3,807.42,269.14
"cheverly, md",13,7520.75,578.52
"cortez, co",3,1891.24,630.41
"beaumont, tx",17,11509.16,677.01
"fogelsville, pa",5,1468.10,293.62
"rochelle, ga",1,754.92,754.92
"brielle, nj",6,4010.59,668.43
"lexington, sc",37,34308.46,927.26
"leonardo, nj",2,2092.19,1046.10
"easton, mo",1,2193.80,2193.80
"unionville, in",1,723.32,723.32
"ada, ok",8,15419.77,1927.47
"talladega, al",5,3216.24,643.25
"crestview, fl",14,12459.48,889.96
"new lenox, il",18,18129.43,1007.19
"klamath falls, or",17,28250.64,1661.80
"the sea ranch, ca",3,3999.26,1333.09
"nashville, in",3,2096.56,698.85
"la mirada, ca",17,14328.33,842.84
"monmouth junction, nj",19,14575.99,767.16
"savage, md",6,3654.74,609.12
"wolfeboro, nh",8,7428.20,928.53
"frankfort, in",2,2239.51,1119.76
"elmhurst, ny",32,26151.21,817.23
"upper arlington, oh",10,8990.96,899.10
"chino hills, ca",70,54268.43,775.26
"pelham, ma",4,2355.56,588.89
"carefree, az",4,2326.13,581.53
"brazil, in",2,2139.44,1069.72
"chesterbrook, pa",8,2635.16,329.40
"west harrison, ny",11,11625.99,1056.91
"arverne, ny",2,1166.27,583.14
"latrobe, pa",6,5342.82,890.47
"oakland, mi",14,9032.26,645.16
"west jordan, ut",61,72645.36,1190.91
"barrington, nh",21,14848.00,707.05
"laramie, wy",30,42397.11,1413.24
"cortlandt manor, ny",9,5699.45,633.27
"lido beach, ny",3,2679.11,893.04
"canaan, ct",4,1362.35,340.59
"sag harbor, ny",14,14805.02,1057.50
"stewartstown, pa",3,1569.63,523.21
"alexandria, nh",1,645.20,645.20
"murphys, ca",2,713.21,356.61
"ceresco, ne",4,1755.54,438.89
"monroeville, pa",7,3412.88,487.55
"rupert, id",4,6021.86,1505.47
"ogden, il",1,269.00,269.00
"coto de caza, ca",20,26464.99,1323.25
"goshen, ky",7,5187.64,741.09
"russiaville, in",2,2445.59,1222.80
"islamorada, fl",2,2197.85,1098.93
"greencastle, pa",8,5090.08,636.26
"galena, il",5,6205.65,1241.13
"martinez, ca",48,53225.60,1108.87
"calabash, nc",3,2199.05,733.02
"cornelius, or",8,3910.14,488.77
"shelton, ct",37,54602.96,1475.76
"garner, nc",41,28517.29,695.54
"weldon spring, mo",3,1763.60,587.87
"saint michael, mn",15,9463.05,630.87
"armada, mi",2,3599.76,1799.88
"bad axe, mi",2,1961.21,980.61
"lawrenceburg, tn",5,5644.88,1128.98
"apollo beach, fl",26,31225.39,1200.98
"tower city, pa",1,115.54,115.54
"sunnyside, ny",39,26034.17,667.54
"bridgton, me",4,1605.72,401.43
"east bridgewater, ma",7,6876.50,982.36
"abbeville, sc",2,2112.18,1056.09
"locust, nc",2,1219.37,609.69
"abingdon, il",1,878.69,878.69
"bellmore, ny",8,5964.91,745.61
"gainesville, va",45,48190.48,1070.90
"greenfield, in",6,4870.85,811.81
"manakin sabot, va",5,5828.94,1165.79
"pattison, tx",2,1293.59,646.80
"gilmer, tx",4,2581.77,645.44
"crouse, nc",1,1379.87,1379.87
"englishtown, nj",5,1777.86,355.57
"hamden, ct",37,32185.30,869.87
"lawson, mo",1,728.00,728.00
"banks, or",6,3153.00,525.50
"greenville, ny",2,2402.57,1201.29
"mountlake terrace, wa",37,34723.71,938.48
"pine hill, nj",3,2928.98,976.33
"elizabethton, tn",7,2395.86,342.27
"laurelville, oh",3,1075.73,358.58
"mission, ks",13,11923.35,917.18
"broomall, pa",16,13291.24,830.70
"setauket, ny",16,9428.59,589.29
"key biscayne, fl",25,21901.27,876.05
"natchitoches, la",5,4392.13,878.43
"mays landing, nj",8,8049.16,1006.15
"new city, ny",21,16753.29,797.78
"three oaks, mi",5,6029.70,1205.94
"union, nj",30,22261.38,742.05
"blue springs, mo",21,16089.58,766.17
"whittier, nc",1,811.06,811.06
"lenoir, nc",4,1473.01,368.25
"kernersville, nc",27,29398.74,1088.84
"spanaway, wa",12,13474.94,1122.91
"oakton, va",56,45448.67,811.58
"falcon heights, mn",11,7954.32,723.12
"argyle, ny",5,2415.28,483.06
"davidsonville, md",10,8940.11,894.01
"burney, ca",4,3744.53,936.13
"newnan, ga",32,28233.23,882.29
"sebastopol, ca",30,34476.38,1149.21
"denham springs, la",9,7191.38,799.04
"palmetto bay, fl",23,15895.06,691.09
"swedesboro, nj",11,12100.13,1100.01
"northampton, pa",5,4799.04,959.81
"zephyr cove, nv",2,1545.68,772.84
"saline, mi",22,15216.80,691.67
"smithville, mo",8,3999.98,500.00
"billerica, ma",29,28553.26,984.60
"clayton, ca",17,15448.57,908.74
"collinsville, ct",4,2928.77,732.19
"lovell, me",2,202.56,101.28
"granger, ia",4,2587.26,646.82
"heath, tx",23,25125.49,1092.41
"garland, ut",2,958.51,479.26
"richmond hill, ny",8,3242.28,405.29
"haymarket, va",44,43409.55,986.58
"granger, in",24,54987.96,2291.17
"delta, co",1,967.18,967.18
"hampstead, nc",17,17868.79,1051.11
"rockport, ma",8,4831.19,603.90
"collingswood, nj",12,9941.71,828.48
"milliken, co",2,283.51,141.76
"jaffrey, nh",5,2243.20,448.64
"clemmons, nc",21,15341.69,730.56
"south glastonbury, ct",10,7788.01,778.80
"guyton, ga",9,8066.66,896.30
"sisters, or",12,7342.20,611.85
"gainesville, ga",36,45447.94,1262.44
"logan, al",1,1998.43,1998.43
"snellville, ga",28,15633.52,558.34
"college grove, tn",18,21700.03,1205.56
"beecher, il",1,1048.69,1048.69
"antelope, ca",15,12880.43,858.70
"beaumont, ca",10,6839.09,683.91
"tujunga, ca",18,11661.73,647.87
"starkville, ms",16,13302.11,831.38
"woodbury, ny",11,7803.46,709.41
"hellertown, pa",7,6531.08,933.01
"citra, fl",3,1419.20,473.07
"middletown, de",29,23024.00,793.93
"long valley, nj",9,8476.71,941.86
"brewer, me",13,11609.06,893.00
"stewartsville, nj",7,3648.07,521.15
"la vista, ne",12,11843.01,986.92
"marion, in",3,1914.23,638.08
"swansea, ma",8,6912.65,864.08
"weatherford, ok",5,7517.40,1503.48
"humboldt, ne",1,934.73,934.73
"westworth village, tx",4,5018.47,1254.62
"ladson, sc",16,11184.53,699.03
"whitleyville, tn",1,851.66,851.66
"petersburg, pa",1,771.68,771.68
"california, md",9,8220.45,913.38
"monaca, pa",3,2047.92,682.64
"batavia, il",26,22476.74,864.49
"baldwinville, ma",1,41.65,41.65
"northborough, ma",24,18246.07,760.25
"new hope, mn",17,15250.69,897.10
